epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,121.971,1.04972,0.76278,1.01737,0.98079,0.91619,0.95873,0.66791,1.00896,0.65079,1.06718,0.000767375,0.000767375,0.000767375
41,124.951,1.05365,0.72439,1.01306,0.9805,0.90212,0.96882,0.64922,1.04536,0.63407,1.06958,0.000755,0.000755,0.000755
42,127.838,1.03518,0.72152,1.02346,0.98724,0.93379,0.96663,0.69438,0.9776,0.59602,1.04448,0.000742625,0.000742625,0.000742625
43,130.882,1.04731,0.71697,1.01828,0.95469,0.93365,0.96671,0.68703,0.94707,0.60335,1.01502,0.00073025,0.00073025,0.00073025
44,133.952,1.03092,0.70632,1.00354,0.96149,0.92624,0.96557,0.66794,0.97302,0.58425,1.0207,0.000717875,0.000717875,0.000717875
45,136.909,1.00805,0.69369,1.00902,0.98148,0.92559,0.97025,0.66707,1.05869,0.62529,1.05875,0.0007055,0.0007055,0.0007055
46,139.846,1.02999,0.6869,1.01897,0.95929,0.95367,0.96885,0.72938,0.9089,0.58174,0.99632,0.000693125,0.000693125,0.000693125
47,142.854,0.98936,0.68545,0.99125,0.95407,0.92664,0.96922,0.67631,0.91103,0.58684,0.99645,0.00068075,0.00068075,0.00068075
48,145.844,1.01391,0.68548,0.99368,0.97794,0.88115,0.96115,0.66017,0.95696,0.59695,1.00779,0.000668375,0.000668375,0.000668375
49,148.816,1.01412,0.68322,0.99763,0.9656,0.94976,0.9727,0.72181,0.8526,0.55632,0.96055,0.000656,0.000656,0.000656
50,151.663,0.98421,0.65761,0.98326,0.94002,0.96113,0.96858,0.69426,0.86889,0.54719,0.97445,0.000643625,0.000643625,0.000643625
51,154.669,0.98639,0.64877,0.98574,0.96037,0.94163,0.97166,0.72508,0.8906,0.54439,0.98349,0.00063125,0.00063125,0.00063125
52,157.921,0.93336,0.64012,0.96054,0.98095,0.91559,0.96796,0.71263,0.93566,0.58587,0.99915,0.000618875,0.000618875,0.000618875
53,160.954,0.97504,0.64473,0.98875,0.95213,0.91367,0.96657,0.70386,0.87069,0.56369,0.98668,0.0006065,0.0006065,0.0006065
